name,prev,weight
Улица Сергея Эйзенштейна,Выставочный центр,83
Окружная,NULL,0
Владыкино,Окружная,208
Ботанический сад,Владыкино,483
Ростокино,Ботанический сад,281
Белокаменная,Ростокино,341
Бульвар Рокоссовского,Белокаменная,385
Локомотив,Бульвар Рокоссовского,165
Измайлово,Локомотив,149
Соколиная Гора,Измайлово,187
Шоссе Энтузиастов,Соколиная Гора,118
Андроновка,Шоссе Энтузиастов,224
Нижегородская,Андроновка,108
Новохохловская,Нижегородская,147
Угрешская,Новохохловская,191
Дубровка,Угрешская,207
Автозаводская,Дубровка,159
ЗИЛ,Автозаводская,168
Верхние Котлы,ЗИЛ,306
Крымская,Верхние Котлы,138
Площадь Гагарина,Крымская,255
Лужники,Площадь Гагарина,263
Кутузовская,Лужники,361
Деловой центр,Кутузовская,64
Шелепиха,Деловой центр,122
Хорошево,Шелепиха,269
Зорге,Хорошево,109
Панфиловская,Зорге,126
Стрешнево,Панфиловская,187
Балтийская,Стрешнево,152
Коптево,Балтийская,276
Лихоборы,Коптево,322
Новослободская,Менделеевская,10
